,BSSH_NM,ADDR,HG_ASGN_LV
247,교촌치킨(일산점),강원도 원주시 무실로 117(원동),매우우수
248,아시아문평촌엔오점,경기도 안양시 동안구 동안로 119(범계뉴코아 지하2층 호계동),매우우수
249,파파존스 용산점,"서울특별시 용산구 서빙고로 69(1층 상가 15호 용산동5가, 파크타워아파트)",우수
250,홍리마라탕 용인,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛 기흥점 주건축물 제1동 2층 일부호 고매동),매우우수
251,어린이미술관카페,"경기도 성남시 분당구 판교역로146번길 20(백현동, 현대백화점 판교복합몰 5층 일부)",매우우수
252,신참떡볶이(테크노점),대구광역시 달성군 유가면 테크노상업로4길 7-4(1층 106호 로얄타워),매우우수
253,묵찜빠,대구광역시 남구 중앙대로 247-1(1층 대명동),좋음
254,제주산방식당대구점,대구광역시 수성구 달구벌대로 2420(1층 범어동),매우우수
255,엔제리너스 동의의료원점,"부산광역시 부산진구 양정로 52-57(양정동,동의의료원 내1층)",매우우수
256,베스킨라빈스,"울산광역시 동구 방어진순환도로 637(일산동,지하1층)",매우우수
257,하남성,울산광역시 동구 대송로 19(일산동),매우우수
258,호식이두마리치킨 신정5동점,"울산광역시 남구 월평로171번길 26(115호 신정동, 신정 지웰)",매우우수
259,베스킨라빈스(전하점),울산광역시 동구 전하로 2(전하동),매우우수
260,비에이치씨(BHC)치킨,"부산광역시 부산진구 범양로125번길 13(양정동,1층)",매우우수
261,비비큐상모점,"경상북도 구미시 상사서로 11(901동 105호 상모동, 신세계타운2단지)",매우우수
262,교촌치킨 갈곶고현점,경기도 평택시 진위면 엘지로 55-59,매우우수
263,푸라닭성남위례점,"경기도 성남시 수정구 위례광장로 21-13(힘찬프라자 123,124호 창곡동)",우수
264,떡볶이참잘하는집떡참광명하안점,경기도 광명시 범안로 1061(삼전빌딩 107호 하안동),매우우수
265,화성시니어클럽 노노카페 (봉담도서관점),경기도 화성시 봉담읍 샘마을1길 8-4(4층 봉담도서관),좋음
266,배스킨라빈스,경상북도 포항시 남구 연일읍 연일로 157(1층 102호),매우우수
267,던킨 판교백현점,"경기도 성남시 분당구 동판교로 55(로제비앙스퀘어 1층 106,107호 백현동)",매우우수
268,던킨시흥능곡,경기도 시흥시 승지로59번길 12(시티타워 1층 107호 능곡동),매우우수
269,투썸플레이스여수여서점,전라남도 여수시 여서동1길 38(여서동),매우우수
270,BHC평택칠원점,경기도 평택시 신촌로 75-15(1동 1층 칠원동),매우우수
271,광탄커피,경기도 파주시 광탄면 동거리길 28(1층 일부),매우우수
272,투썸플레이스광명하안점,"경기도 광명시 하안로287번길 21(하안동, 1층102호,105호,2층)",매우우수
273,김천(부산방향)휴게소열린매장,경상북도 김천시 농소면 경부고속도로 193,매우우수
274,롤링핀오산점,"경기도 오산시 오산로190번길 35(1층,2층 원동)",우수
275,화성시니어클럽 노노카페 태안도서관점,경기도 화성시 화산중앙로 19(태안도서관 1층 104호 안녕동),매우우수
276,던킨(시흥하중점),경기도 시흥시 하중로 195(하중랜드빌딩 1층 일부호 하중동),매우우수
277,파리바게뜨성세점,경기도 평택시 서정북로 79(서정동),매우우수
278,기아차소하리(카페베즐리),"경기도 광명시 기아로 113(3층 소하동, 기아자동차소하리공장 대식당)",매우우수
279,밀방떡향남점,경기도 화성시 향남읍 행정죽전로1길 33(102호),매우우수
280,투썸플레이스 수정점,전라남도 여수시 오동도로 61-13(1층 수정동),매우우수
281,김천(서울방향)휴게소(공주밤빵/직화수제꼬치),경상북도 김천시 농소면 경부고속도로 194,우수
282,파발빵카페(파발빵cafe),경기도 파주시 탄현면 헤이리마을길 16(2층),매우우수
283,까페 쉼표,"경기도 파주시 운정역길 357(야당동, 1층 일부)",매우우수
284,교촌치킨,경상북도 포항시 남구 연일읍 연일중앙로 37(1층),매우우수
285,파파존스 판교점,"경기도 성남시 분당구 서판교로 154(2층 204호 판교동, 낙생빌딩)",매우우수
286,던킨 판교테크노밸리점,경기도 성남시 분당구 판교로255번길 9-22(판교 우림 W-CITY 2층 216호 삼평동),매우우수
287,던킨도너츠오산세교점,"경기도 오산시 수청로 188(금암동, 롯데슈퍼 110호)",매우우수
288,이디야(엑스포점),전라남도 여수시 오동도로 61-18(수정동),우수
289,장성창포점 굽네치킨,경상북도 포항시 북구 대곡로 10(두호동),좋음
290,(주)공차코리아평택AK점,경기도 평택시 평택로 51(지하1층 평택동),매우우수
291,김천(서울방향)휴게소열린매장,경상북도 김천시 농소면 경부고속도로 194,매우우수
292,달려온(ON)카페,경기도 파주시 심학산로423번길 7-24(1층 일부 목동동),매우우수
293,가람,"서울특별시 송파구 올림픽로43길 88(지상1층 풍납동, 영안실동)",매우우수
294,투썸플레이스 디지털미디어시티역점,서울특별시 마포구 성암로 189(중소기업 DMC 타워 1층 상암동),매우우수
295,원할머니보쌈족발시흥목감배달점,경기도 시흥시 수풀안길 14-23(메트로타워-2 1층 107호 조남동),매우우수
296,롯데리아광명역점,"경기도 광명시 광명역로 21(1층 일직동, 고속철도광명역)",매우우수
297,롤리아 롯데인천터미널점,인천광역시 미추홀구 연남로 35(롯데백화점 인천터미널점 지하1층 관교동),매우우수
298,이디야 화성향남시범점,경기도 화성시 향남읍 행정중앙1로 10(1층 일부호),매우우수
299,한강,"서울특별시 송파구 올림픽로43길 88(지하1층 풍납동, 서울아산병원 동관)",매우우수
300,60계치킨 파주금촌점,경기도 파주시 금빛로 15(미라클프라자 102.103호 금촌동),매우우수
301,파파존스 중계점,"서울특별시 노원구 한글비석로 264(209호 중계동, 중계그랜드프라자)",매우우수
302,파리바게뜨부산신항,"경상남도 창원시 진해구 신항동로 141(1층 113 일부호 용원동, 애플타운헤리티지)",매우우수
303,호식이두마리치킨,경기도 고양시 덕양구 보광로 25(고양동),매우우수
304,릴라쫄면,울산광역시 중구 시계탑거리 4(1층 성남동),매우우수
305,화성시니어클럽 노노카페(동탄한림대병원점),경기도 화성시 큰재봉길 7(2층 일부호 석우동),매우우수
306,천사 왕 족발,전라남도 신안군 압해읍 압해로 891(1층),우수
307,푸라닭청주금천점,충청북도 청주시 상당구 명암로 32(주2동 B1층 103호 용담동),좋음
308,파리바게뜨(중계대림점),"서울특별시 노원구 덕릉로73길 12(중계동,1, 2층)",매우우수
309,푸라닭 계룡점,충청남도 계룡시 엄사면 엄사중앙로 113,매우우수
310,BHC 파주봉일천점,경기도 파주시 조리읍 두루봉로 27-7(태형미림아파트 상가동 1층일부),매우우수
311,파리바게트울산팔등로점,"울산광역시 남구 신정로 170(신정동, 지상1층)",매우우수
312,이디야동탄남광장점,"경기도 화성시 동탄중심상가1길 15(씨티21 1층 103,104호 반송동)",매우우수
313,푸라닭 고양동점,경기도 고양시 덕양구 푸른마을로 6(고양 e PLAZA 상가동 1층 125-2호 고양동),매우우수
314,60계치킨,"경기도 고양시 일산서구 중앙로 1388(지하층 030호 주엽동, 태영프라자)",우수
315,아이갓에브리씽이순신도서관점,전라남도 여수시 웅천6길 51(여수시 이순신도서관 2층 웅천동),매우우수
316,던킨도너츠전주고속터미널점,"전라북도 전주시 덕진구 가리내로 70(금암동, 고속터미널 1층일부)",매우우수
317,천사대교무지개식당,전라남도 신안군 암태면 천사대교로 922(1층),좋음
318,애플블러썸,서울특별시 노원구 노원로 330(롯데마트 지하층 중계동),매우우수
319,배스킨라빈스 공업탑점,울산광역시 남구 삼산로 14(신정동),매우우수
320,"교동짬뽕, 불쭈꾸미",충청북도 청주시 흥덕구 옥산면 경부고속도로 309,매우우수
321,60계치킨청주용암금천점,충청북도 청주시 상당구 낙영로24번길 18(1층 용암동),좋음
322,엔제리너스커피,"대구광역시 북구 옥산로17길 14(111,112호 칠성동2가, 리치프라자)",매우우수
323,고집쟁이최씨공방,경기도 고양시 일산동구 지영로 87(C동 1층 일부호 지영동),우수
324,베스킨라빈스,"경기도 고양시 일산서구 후곡로 22(일산동,1층101,102호)",매우우수
325,파스쿠찌(부산종합터미널점),"부산광역시 금정구 중앙대로 2238(노포동,외34필지)",매우우수
326,버거킹 동탄점,"경기도 화성시 동탄반석로 156(103,104,105호 반송동)",매우우수
327,너울가지,전라남도 여수시 만성로 173(여수시장애인종합복지관 가동 미평동),매우우수
328,카페꽃길,전라남도 신안군 암태면 장단고길 7-9,우수
329,파리바게뜨청주동남우미린점,"충청북도 청주시 상당구 동남로 43(1층 109,110호 방서동)",매우우수
330,파리바게트(청주비하점),"충청북도 청주시 흥덕구 2순환로 1106(303동 B125호 비하동, 서청주파크자이)",매우우수
331,60계치킨진해충무점,경상남도 창원시 진해구 벚꽃로 78-1(1층 일부호 충무동),매우우수
332,한국맥도날드(유) 충남논산 DT점,충청남도 논산시 시민로 247(내동),매우우수
333,꽃마름달동롯데마트점,"울산광역시 남구 삼산로 74(2층 달동, 롯데마트울산점)",우수
334,빽다방 고양덕은드림점,경기도 고양시 덕양구 으뜸로 124(102호 덕은동),매우우수
335,청년피자 하계공릉점,서울특별시 노원구 동일로 1048(1층 중앙계단 왼쪽호 공릉동),우수
336,속초코다리냉면범계점,경기도 안양시 동안구 동안로 119(범계뉴코아 지2층 호계동),매우우수
337,베스킨라빈스풍동점,"경기도 고양시 일산동구 숲속마을1로 71(113~114호 풍동, 샘터17)",매우우수
338,파스쿠찌 부산노포역점,부산광역시 금정구 중앙대로 2238(부산종합버스터미널 2층 노포동),매우우수
339,커피쿡사수점,대구광역시 북구 내곡로 81(부광빌딩 1층 107호 사수동),매우우수
340,지에스(GS) 안동송현LH점,"경상북도 안동시 송현길 16(상가동 1층 102호 송현동, 송현휴먼시아3단지)",우수
341,비에이치씨치킨아중1호점,전라북도 전주시 덕진구 건산로 238(1층 일부호 인후동1가),매우우수
342,노노카페남양도서관점,경기도 화성시 남양읍 역골중앙로 143(2층 일부),매우우수
343,탕이랑 찜이랑,전라남도 신안군 지도읍 읍내길 19-2,우수
344,밀대장79,부산광역시 동래구 명륜로129번나길 11(명륜동),매우우수
345,푸라닭용인서천지구점,경기도 용인시 기흥구 서천동로91번길 2(1층 일부호 농서동),우수
346,작동홍두깨칼국수,경기도 부천시 길주로560번길 63(1층 춘의동),좋음
347,커피위드인 부평역사박물관점,"인천광역시 부평구 굴포로 151(삼산동, 부평역사박물관 2층)",매우우수
348,한국피자헛광주주월점,광주광역시 남구 서문대로 789(1층 주월동),매우우수
349,써브웨이광주신용점,"광주광역시 북구 첨단연신로91번길 10(1층 106, 107호 신용동)",매우우수
350,커피인터뷰 신안점,전라남도 신안군 지도읍 해제지도로 1283-24(1층),매우우수
351,올스타피자전주완산점,전라북도 전주시 완산구 인정로 13(1층 중화산동2가),우수
352,던킨도넛송도신도시점,"인천광역시 연수구 신송로 122(송도동,송도프라자 122호)",매우우수
353,진가원 전주콩나물국밥 묵사발(외동점),경상남도 김해시 전하로304번길 11(외동),좋음
354,카페베즐리,"경기도 용인시 수지구 문인로 30(동천동,3층)",매우우수
355,브라운돈까스(울산산하점),울산광역시 북구 강동산하4로 21(지상1층 109호 산하동),매우우수
356,파리바게트(서창푸르지오점),경상남도 양산시 삼호로 60(1층 삼호동),매우우수
357,파리바게트,부산광역시 남구 석포로 127-1(대연동),매우우수
358,(주)모마 엔젤리너스 인천계산,"인천광역시 계양구 계양문화로 90(용종동, 새롬프라자1차 109호, 203호, 204호)",매우우수
359,크리스피크림 현대중동점,"경기도 부천시 길주로 180(중동, 현대백화점 중동점백화점동 지하1층일부 식품관)",매우우수
360,60계 부산사직점,"부산광역시 동래구 사직로 8(202동 101-1호 사직동, 삼정그린코아 더베스트 1차)",매우우수
361,나따오비까X라비타,인천광역시 서구 청라커낼로288번길 26(현대썬앤빌더테라스 150호 청라동),우수
362,커피위드인 삼산점,인천광역시 부평구 후정동로 6(1층 일부호 삼산동),매우우수
363,이디야커피 간석홈플러스점,"인천광역시 남동구 경원대로 971(1층 일부호 간석동, 홈플러스인천간석점)",매우우수
364,카페모마(cafe moma),울산광역시 울주군 온양읍 보곡1길 19(1층),매우우수
365,어찬,전라남도 신안군 지도읍 해제지도로 1283-24(1층),우수
366,엔제리너스(봉선중앙점),광주광역시 남구 봉선로 152(1층 봉선동),매우우수
367,60계울산명촌점,울산광역시 북구 명촌15길 3-1(지상1층 명촌동),매우우수
368,던킨공항철도검암역점,인천광역시 서구 검바위로 26(검암역공항철도 1층 일부호 검암동),매우우수
369,미분당인천논현점,인천광역시 남동구 앵고개로847번길 72(논현시티 1층 104호 논현동),매우우수
370,베스킨라빈스,"경상남도 양산시 양산역6길 12(중부동,이마트내)",매우우수
371,한국맥도날드(유)광주쌍촌DT점,"광주광역시 서구 상무대로 921-1(1,2층 쌍촌동)",매우우수
372,파리바게뜨 우암점,"부산광역시 남구 우암로154번길 18(우암동,대진아파트 상가1층)",매우우수
373,공차현대송도점,"인천광역시 연수구 송도국제대로 123(송도동, 현대프리미엄아울렛 지하1층)",매우우수
374,찜콩,경기도 부천시 부일로 392(1층 일부 심곡동),매우우수
375,더벤티 김해율하점,경상남도 김해시 율하2로 272(관동동),매우우수
376,교촌치킨 청라점,"인천광역시 서구 중봉대로612번길 10-22(108,109,110호 연희동, 우리프라자)",매우우수
377,지코바치킨,부산광역시 동래구 중앙대로1335번길 89(온천동),매우우수
378,이디야 인천용현유원점,"인천광역시 미추홀구 낙섬중로 110(1,2층 용현동)",매우우수
379,네네치킨평화1호점,전라북도 전주시 완산구 평화17길 10(평화동1가),매우우수
380,커피위드인 인천나비공원점,"인천광역시 부평구 평천로 26-47(청천동,2층)",매우우수
381,호식이두마리치킨 염포양정점,울산광역시 북구 새장터1길 10-1(지상1층 염포동),매우우수
382,써브웨이 광주신창점,광주광역시 광산구 신창로 121(1층 신창동),매우우수
383,카페썸,전라남도 신안군 임자면 진리길 5-1,매우우수
384,파리바게뜨문현역점,"부산광역시 남구 전포대로 16(문현동,이안문현아파트 상가211,212호)",매우우수
385,폴 바셋 롯데몰 수지점,경기도 용인시 수지구 성복2로 38(롯데몰성복점 지하1층 일부호 성복동),매우우수
386,더벤티 산곡역점,"인천광역시 부평구 길주로364번길 9(1층 117호 산곡동, 부평 IPARK)",우수
387,더벤티부천중동팰리스점,경기도 부천시 중동로 146(1층 중동),우수
388,빽다방인천원창북항점,인천광역시 서구 북항로32번안길 35(그리니프라자 104호 원창동),우수
389,불닭발땡초동대문엽기떡볶이 부산안락점,부산광역시 동래구 명장로 135(2층 안락동),매우우수
390,빽다방 전북부안점,전라북도 부안군 부안읍 번영로 123,매우우수
391,이디야 선학역점,인천광역시 연수구 학나래로118번길 45(지상1층 선학동),매우우수
392,본죽 & 비빔밥 카페 인천 주안점,"인천광역시 미추홀구 미추홀대로 716(주안동, 106호,108호)",우수
393,교촌치킨배곧신도시1호점,"경기도 시흥시 배곧4로 18(115, 116호 정왕동)",매우우수
394,BHC치킨,울산광역시 울주군 온양읍 연안8길 21(1층),매우우수
395,강릉60계치킨(회산점),강원도 강릉시 관솔길 14(2층 회산동),매우우수
396,GS25강릉터미널점,강원도 강릉시 하슬라로 20(홍제동),매우우수
397,파리바게뜨 가평현리점,경기도 가평군 조종면 조종희망로 7(1층 102호),매우우수
398,폴바셋용산아이파크몰점,서울특별시 용산구 한강대로23길 55(아이파크몰 동관 6층 한강로3가),매우우수
399,(주)캘리스코 히바린 현대천호점,서울특별시 강동구 천호대로 1005(현대백화점 12층 천호동),매우우수
400,(주)현대그린푸드 베즐리베이커리 압구정점,"서울특별시 강남구 압구정로 165(지하1층 압구정동, 현대백화점)",매우우수
401,롯데컬처윅스(주)롯데시네마청량리스위트샵,서울특별시 동대문구 왕산로 214(7층 전농동),매우우수
402,던킨전주하가점,전라북도 전주시 덕진구 가련산로 11(1층 101호전체.102호일부호 덕진동2가),매우우수
403,GS25 김대중컨벤션,광주광역시 서구 상무화원로11번길 7(1층 치평동),우수
404,빽다방 신용산해링턴점,서울특별시 용산구 서빙고로 17(용산 센트럴파크 해링턴스퀘어 판매시설동동 1층 9호 한강로3가),매우우수
405,푸라닭삼척남양점,강원도 삼척시 진주로 24(남양상가 104호 남양동),매우우수
406,버거킹 명일DT점,서울특별시 강동구 고덕로 168(명일동),매우우수
407,이디야커피 가평설악중앙점,경기도 가평군 설악면 신천중앙로 118(103호),매우우수
408,롯데리아강릉교동점,강원도 강릉시 교동광장로 106(교동),매우우수
409,교촌치킨대정점,제주특별자치도 서귀포시 대정읍 신영로 73(1층),매우우수
410,푸라닭 답십리점,서울특별시 동대문구 사가정로 31-1(1층 답십리동),매우우수
411,멕시카나치킨덕진하가점,전라북도 전주시 덕진구 가련산로 11(1층 102호일부호 덕진동2가),좋음
412,순살만공격전주효자점,전라북도 전주시 완산구 용머리로 103-4(1층 효자동1가),매우우수
413,배스킨라빈스 동해나안점,"강원도 동해시 청운1길 57(1층 101,102호 나안동)",매우우수
414,멕시카나포남1호점,강원도 강릉시 경강로2224번길 17(포남동),매우우수
415,이디야커피 가평설악점,경기도 가평군 설악면 유명로 1600(1층 102호),매우우수
416,스타벅스커피 명일이마트점,"서울특별시 강동구 동남로75길 5(1,2,3F층 명일동)",매우우수
417,투썸플레이스제주모슬포점,제주특별자치도 서귀포시 대정읍 최남단해안로 44(1층),매우우수
418,디뷰,제주특별자치도 제주시 노형7길 9-16(1층 노형동),우수
419,투썸플레이스 상무메이루즈점,"광주광역시 서구 시청로 27(1층 129호 치평동, 광명메이루즈 테라스가든)",매우우수
420,투썸플레이스 전주씨지브이중앙점,"전라북도 전주시 완산구 전주객사3길 72(고사동, 110호일부)",매우우수
421,수준이다른치킨전주효자점,전라북도 전주시 완산구 용머리로 103-4(1층 효자동1가),매우우수
422,할머니가래떡볶이 상일역점,서울특별시 강동구 고덕로 380(고덕아르테온근린생활시설-2 2동 105-1호 상일동),매우우수
423,파리바게뜨,경기도 가평군 가평읍 가화로 114,매우우수
424,명륜진사갈비동해평릉점,"강원도 동해시 평릉길 32(1층 109,110호 평릉동)",매우우수
425,60계치킨강릉포남성덕점,강원도 강릉시 경강로 2322(1층 포남동),매우우수
426,롯데리아 대구동성로점,대구광역시 중구 동성로 39(동성로2가),우수
427,비에이치씨치킨,서울특별시 용산구 대사관로34길 34(한남동),매우우수
428,롯데시네마 수지 엔제리너스,경기도 용인시 수지구 성복2로 38(롯데몰성복점 5층 552호 성복동),매우우수
429,몬스터포동대문,서울특별시 동대문구 답십리로60길 103(1층 답십리동),좋음
430,더벤티,"인천광역시 서구 청라한내로 40(상가동 106호 청라동, 청라 호수공원 한신더휴)",우수
431,BHC해운대마리나,"부산광역시 해운대구 마린시티1로 9(1층 105,106호 우동, 마린시티자이)",매우우수
432,본도시락춘천교대점,강원도 춘천시 공지로 121-1(1층 석사동),매우우수
433,60계치킨(장평점),경상남도 거제시 장평3로3길 22(1층 장평동),좋음
434,베스킨라빈스,"서울특별시 중랑구 상봉로 118(망우동, E마트 1층식품부)",매우우수
435,떡볶이참잘하는집 떡참 청주봉명점,충청북도 청주시 흥덕구 과상미로10번길 57(1층 일부호 봉명동),우수
436,강다짐 세종아름점,세종특별자치시 보듬3로 95(해피라움3 1층 110호 아름동),매우우수
437,60계치킨 울산덕신점,울산광역시 울주군 온산읍 온덕1길 3,매우우수
438,이디야  증산동점,서울특별시 은평구 증산서길 78(일부호 증산동),매우우수
439,이디야커피 거제상동점,경상남도 거제시 상동5길 25(1층 101호 상동동),매우우수
440,그린컨테이너,부산광역시 동래구 중앙대로1301번길 41(1층 온천동),좋음
441,롯데푸드(주) 파스퇴르밀크바 센텀시티점,"부산광역시 해운대구 센텀남대로 59(우동, 롯데백화점 지하1층)",매우우수
442,이디야커피(언양메가마트점),울산광역시 울주군 삼남읍 반구대로 612(1층),매우우수
443,푸드여행,강원도 춘천시 벌말길 89(1층 석사동),매우우수
444,이디야커피 무악재역점,서울특별시 서대문구 통일로 369(지상1~2층 홍제동),매우우수
445,요바,"대구광역시 서구 평리로 214(6동 9,10호 내당동, 내당광명아파트 상가)",우수
446,60계치킨신방통정점,충청남도 천안시 동남구 통정11로 57(1층 신방동),매우우수
447,멕시카나신부점,충청남도 천안시 동남구 신부4길 27(1층 신부동),매우우수
448,BHC 구지행복점,대구광역시 달성군 구지면 과학마을로3길 27(1층),매우우수
449,GS25춘천미소점,강원도 춘천시 근화길15번길 43(1층 근화동),매우우수
450,이디야(갈매점),"세종특별자치시 갈매로 353(에비뉴힐 A동 1층 1002,1004호 어진동)",매우우수
451,현대그린푸드 현대글로비스본사카페,"서울특별시 성동구 왕십리로 83-21(D타워33층 3301호 성수동1가, 아크로 서울포레스트)",매우우수
452,빽다방 먹골역점,서울특별시 중랑구 공릉로2길 7(구산빌딩 1층 105호 묵동),매우우수
453,파리바게뜨운천점,"충청북도 청주시 흥덕구 사운로 265(운천동,1층)",우수
454,60계 서울 연신내점,서울특별시 은평구 연서로27길 16-16(1층 갈현동),매우우수
455,미채담 샤브정 롯데백화점 센텀시티점,부산광역시 해운대구 센텀남대로 59(롯데백화점센텀시티점 지하 1층 일부호 우동),매우우수
456,아쿠아가든카페 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 6층 하동),매우우수
457,60계 아주점,경상남도 거제시 아주1로2길 65(1일부층 아주동),매우우수
458,비에이치씨(BHC) 홍제점,서울특별시 서대문구 통일로37길 42(가동 1층 홍제동),우수
459,마후나 집밥,울산광역시 울주군 청량읍 신덕하2길 7(1층),우수
460,투썸플레이스앞산스카이타운점,대구광역시 남구 앞산순환로 375(대명동),매우우수
461,비에이치씨(bhc)동남지구점,"충청북도 청주시 상당구 중고개로141번길 11-17(1층 109,110호 용암동)",매우우수
462,굽네치킨 도담점,세종특별자치시 보듬3로 6(라온프라이빗시티Ⅱ 1층 107호 도담동),매우우수
463,호호반점 성수낙낙점,서울특별시 성동구 아차산로17길 48(지하1층 RB108호 성수동2가),매우우수
464,멕시카나 묵동점,서울특별시 중랑구 중랑역로 279-1(1층 묵동),매우우수
465,본도시락춘천장학점,강원도 춘천시 동면 춘천순환로 613(103호),매우우수
466,멕시카나안서점,충청남도 천안시 동남구 문암로 62(1층 안서동),매우우수
467,호식이두마리치킨 아주점,"경상남도 거제시 아주로1길 13-1(아주동, 1층)",좋음
468,호식이두마리치킨통영점,"경상남도 통영시 원문로 12(128호 북신동, 진우데파트)",매우우수
469,카츠효,대구광역시 남구 중앙대로49길 24(대명동),좋음
470,공차 대구테크노폴리스점,"대구광역시 달성군 유가읍 테크노상업로 82(1층 105,106호)",매우우수
471,집밥이 좋다,"부산광역시 해운대구 센텀남대로 59(우동, 롯데백화점 센텀시티점 지하1층 식품관)",매우우수
472,로더바이미(L'odeur by me),대구광역시 남구 안골길 56(1층 대명동),매우우수
473,언양닭칼국수 덕신점,울산광역시 울주군 온산읍 신온3길 11(1층),우수
474,바랑,"울산광역시 울주군 온양읍 상발1길 1(1, 2층)",매우우수
475,육십(60)계치킨성서점,"대구광역시 달서구 계대동문로 99(301동 111호 이곡동, 성서보성화성타운상가)",매우우수
476,맛나면 돈까스,경기도 수원시 영통구 매영로45번길 5(1층 일부호 매탄동),우수
477,주식회사 지씨에스 흑석자이,서울특별시 동작구 흑석동 84-129 지에스건설 흑석3구역현장,매우우수
478,비에치씨치킨호프,"서울특별시 양천구 오목로 215-1(신정동,예지2003타운 1층 오목로 148-1)",매우우수
479,투썸플레이스TBC점,대구광역시 수성구 동대구로 36(1층 지산동),매우우수
480,본도시락원주기업도시점,강원도 원주시 지정면 신지정로 153-29,매우우수
481,지에스25 영주에이스점,경상북도 영주시 대학로164번길 7(가흥동),매우우수
482,본도시락 경산하양점,경상북도 경산시 하양읍 대학로 1514(1층),매우우수
483,이디야커피 불국점,경상북도 경주시 산업로 2984(1층 시래동),매우우수
484,"미쿡케이크(Me,cookcake!)",대구광역시 남구 중앙대로49길 38(1층 대명동),매우우수
485,푸라닭 경산영남대점,경상북도 경산시 압량읍 압독3로 27,좋음
486,버거킹원주기업도시점,강원도 원주시 지정면 신지정로 211(109~112호),매우우수
487,지에스25영주부영점,경상북도 영주시 대동로13번길 22(101호 가흥동),매우우수
488,불닭발동대문엽기떡볶이신정점,서울특별시 양천구 신월로 294(지상2층 신정동),우수
489,롯데리아 신정네거리역점,서울특별시 양천구 신월로 297(1층 신정동),매우우수
490,교촌치킨 영천1호점,경상북도 영천시 망정3길 7(망정동),매우우수
491,지에스25영주가흥원룸점,경상북도 영주시 대학로163번길 22-28(에델바이스 1층 가흥동),매우우수
492,비에이치씨 횡성우천점,강원도 횡성군 우천면 수남로 349,매우우수
493,열린매장(경주휴게소점),경상북도 경주시 내남면 경부고속도로 59,매우우수
494,BHC구성마북점,"경기도 용인시 기흥구 마북로 126(마북동, 현대타운 106호)",매우우수
495,비에이치씨(bhc) 안성중앙점,경기도 안성시 대천동 122,매우우수
496,이디야 비산사거리점,경기도 안양시 동안구 경수대로883번길 96(지상1층 비산동),매우우수
497,제주스,경기도 부천시 송내대로 239(부천터미널소풍 5층 5440호 상동),매우우수
498,BHC치킨(산본수리.궁내점),"경기도 군포시 산본로323번길 16-15(광림빌딩 2층 204호,205호 산본동)",좋음
499,치킨플러스 용인동백점,"경기도 용인시 기흥구 언동로217번길 45-1(중동, 용구상가 106호)",매우우수
500,현대제철사내복지관카페,충청남도 당진시 송산면 북부산업로 1526,매우우수
