,BSSH_NM,ADDR,HG_ASGN_LV
753,버거킹 경대병원역SK,"대구광역시 중구 달구벌대로 2194(대봉동, 지상1,2층)",매우우수
754,피자몰엔씨전주점,전라북도 전주시 완산구 전주객사5길 35(고사동),좋음
755,코레일유통(주)트리핀,"서울특별시 영등포구 경인로 862(영등포동,외11필지 영등포민자역사에이동 비호 영등포역 지상3층 국철맞이방내)",매우우수
756,폴 바셋 롯데몰수원점,"경기도 수원시 권선구 세화로 134(서둔동, 롯데몰수원점2층)",매우우수
757,60계치킨목감점,"경기도 시흥시 목감남서로 92-30(402동 지하2층 1호 산현동, 목감레이크 푸르지오)",매우우수
758,베스킨라빈스,부산광역시 사상구 가야대로 362(주례동),매우우수
759,푸라닭 부개2동점,인천광역시 부평구 부흥로 414(모아빌딩 1층 103호 부개동),매우우수
760,이디야커피 내발산점,"서울특별시 강서구 강서로 304(영종빌딩 1층 1,2,3호 내발산동)",매우우수
761,폴바셋영등포타임스퀘어점,서울특별시 영등포구 영중로 15(타임스퀘어 2층 교보문고 내 영등포동4가),매우우수
762,굽네치킨 수원역점,경기도 수원시 팔달구 매산로52번길 8-1(1층 매산로2가),매우우수
763,배스킨라빈스31,인천광역시 서구 원당대로 660-1(1층 당하동),매우우수
764,푸라닭광명소하점,경기도 광명시 하안로 108(에이스 광명타워 1층 115호 소하동),매우우수
765,던킨 괴정점,"부산광역시 사하구 사하로 189(상가동 110호 괴정동, 괴정어반푸르지오)",매우우수
766,도미노피자 세종다정점,"세종특별자치시 한누리대로 331(103~104호 나성동, SR파크센텀)",매우우수
767,이디야커피,부산광역시 동구 중앙대로274번길 7-3(초량동),우수
768,롯데리아 김포마산점,"경기도 김포시 김포한강8로148번길 5(유송타워 101, 102호 마산동)",매우우수
769,교촌치킨인계점,경기도 수원시 팔달구 인계로166번길 51(1층 인계동),우수
770,롯데컬처웍스(주)롯데시네마부평역사,"인천광역시 부평구 광장로 16(부평동,부평민자역사 본건물 7층)",매우우수
771,BHC 시흥 신천점,"경기도 시흥시 수인로3312번길 16(T동 지3층 T126호 대야동, 시흥 센트럴 푸르지오)",매우우수
772,원할머니보쌈(송림점),인천광역시 동구 샛골로210번길 9(1층 106호 송림동),좋음
773,폴 바셋 신세계백화점 타임스퀘어점,서울특별시 영등포구 영중로 15(신세계백화점타임스퀘어점 지하1층 영등포동4가),매우우수
774,동아대병원푸드코트점,부산광역시 서구 대신공원로 32(동아대학교병원 중정의료동 지하2층 동대신동3가),매우우수
775,버거킹 충남대병원DT점,"세종특별자치시 보듬5로 6(타이어뱅크세종청사점 주1동 1,2층 도담동)",좋음
776,이디야 수원아주대점,경기도 수원시 영통구 월드컵로 191(동문빌딩 1층 원천동),매우우수
777,60계치킨 인천청라지점,인천광역시 서구 청라루비로42번길 6-12(103호 경서동),매우우수
778,롯데컬처웍스(주) 롯데시네마 부평 스위트샵 6층,"인천광역시 부평구 대정로 66(629 호 일부 호 부평동, 다운타운 ELEVEN빌딩)",매우우수
779,신대청마루,"인천광역시 동구 방축로 105(송림동,산업용품유통센타 편익 C동 지하 21호)",좋음
780,코레일유통(주)카페스토리웨이,서울특별시 영등포구 국회대로 612(1층 당산동3가),매우우수
781,면앤면추억의가락국수,"경기도 광명시 광명역로 21(1층 일직동, 고속철도광명역 동편맞이방)",매우우수
782,롯데마트(주)시흥점조리식품,경기도 시흥시 비둘기공원로 28(2층 대야동),매우우수
783,브레댄코 율리점,울산광역시 울주군 청량읍 율리영해2길 24(1층),매우우수
784,크로앙쥬 안산고잔점,경기도 안산시 단원구 광덕대로 174(월드타운 106호 고잔동),매우우수
785,타요키즈카페 롯데백화점 중동점,"경기도 부천시 길주로 300(중동, 롯데백화점 8층 일부)",매우우수
786,진지아 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 9층 하동),매우우수
787,마이디주스 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 7층 하동),매우우수
788,60계치킨군포송정지구점,경기도 군포시 송부로34번길 23(1층 도마교동),우수
789,그리니쉬 가드닝카페,경기도 부천시 길주로 300(롯데백화점 8층 일부호 중동),매우우수
790,동대문불닭발땡초엽기떡볶이(안산와동점),"경기도 안산시 단원구 보화로 24(고잔동, 615)",매우우수
791,공차 롯데중동점,경기도 부천시 길주로 300(롯데백화점중동점 지하1층일부 중동),매우우수
792,진순자김밥,인천광역시 연수구 송도국제대로 123(현대프리미엄 아울렛 송도점 지하1층 일부호 송도동),매우우수
793,카페꼼마 갤러리아 광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 8층 하동),매우우수
794,60계 대부도점,경기도 안산시 단원구 대부황금로 1487(1층 대부북동),매우우수
795,광복수제비,경기도 부천시 길주로 300(롯데백화점 중동점 지하1층일부 중동),매우우수
796,이디야 송도아트포레점,"인천광역시 연수구 인천타워대로 257(아트포레 A동 119,122호 송도동)",매우우수
797,더벤티 과천위버필드점,경기도 과천시 별양상가2로 35(1층 105호 별양동),우수
798,파리바게뜨 대구세천점,"대구광역시 달성군 다사읍 세천로 161(105호, 106B호 프라임시티)",매우우수
799,리저브9(reverve9),"인천광역시 연수구 인천타워대로 257(아트포레 C동 C-201,202호 송도동)",매우우수
800,BHC부산만덕점,부산광역시 북구 만덕3로57번길 6(1층 만덕동),매우우수
801,배스킨라빈스 정관점,부산광역시 기장군 정관읍 정관2로 9(214동 B202일부호 이지더원2차),매우우수
802,투썸플레이스 장유율하원메이저,"경상남도 김해시 율하임수길 5(1층, 2층 일부 장유동)",매우우수
803,멕시카나치킨 이도점,"강원도 동해시 동해대로 4833(120동 108호 이도동, 동해 코아루 더 스카이)",우수
804,카페스토리웨이 동대구역사점,"대구광역시 동구 동대구로 550(4층 신암동, 동대구역 동대구역사)",우수
805,더벤티 기흥더샵점,"경기도 용인시 기흥구 기흥역로58번길 78(O동 1층 111호 구갈동, 기흥역 더샵)",매우우수
806,KFC이천터미널,경기도 이천시 중리천로 84(1층 중리동),매우우수
807,피자헛진주혁신점,"경상남도 진주시 에나로 142(솔레어빌딩 주1동 1층 106호,107호 충무공동)",매우우수
808,버거킹평택서정점,경기도 평택시 경기대로 1371(서정동),매우우수
809,크리스피크림도넛 창원중앙역점,"경상남도 창원시 의창구 상남로 381(용동,지상1층)",매우우수
810,역전우동0410(정자역점),경기도 성남시 분당구 성남대로331번길 7(정자스타빌딩 1층 102호 정자동),우수
811,엔제리너스롯데마트광교점,"경기도 수원시 영통구 센트럴타운로 85(지하1층 이의동, 롯데마트)",매우우수
812,소담한식고기간,경기도 오산시 원동로 6(파크스퀘어 143호 원동),좋음
813,두레,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 B1층 하동),매우우수
814,한국맥도날드유한회사만덕점,부산광역시 북구 덕천로 179(만덕동),매우우수
815,투썸플레이스(A TWOSOME PLACE),"대구광역시 동구 동대구로 550(신암동,외 18필지 동대구역 동대구역사)",매우우수
816,푸라닭 김해주촌점,경상남도 김해시 주촌면 천곡로15번길 20(1층),매우우수
817,파리바게뜨 정관중앙점,"부산광역시 기장군 정관읍 정관로 581(성원프라자 102호,103호)",매우우수
818,투썸플레이스 창원사림현대점,"경상남도 창원시 의창구 용동로 45(현대썬앤빌더스퀘어 2층 F동 204호, G동 201호 사림동)",매우우수
819,이디야커피주약동점,"경상남도 진주시 진주대로815번길 14(주약동, 1층)",매우우수
820,60계용인동백점,"경기도 용인시 기흥구 동백5로 21-8(동백 지스타 1층 119,120호 중동)",매우우수
821,푸라닭 이천중리점,경기도 이천시 이섭대천로 1185(남선희산부인과 1층 102호 중리동),매우우수
822,버거킹평택죽백DT점,경기도 평택시 만세로 1709(1층 죽백동),우수
823,피자스쿨(봉담점),경기도 화성시 봉담읍 동화길 91(1층 108호 웅신프라자),매우우수
824,빵위에치즈중동점,경기도 부천시 상일로 140(상동 대우마이빌 116호 상동),매우우수
825,교촌치킨청운점,강원도 동해시 청운로 73(1층 쇄운동),매우우수
826,튜나비,경기도 수원시 권선구 세권로 182(1층 권선동),매우우수
827,가마치통닭 대송점,울산광역시 동구 대송8길 27(지상1층 화정동),매우우수
828,60계 포항흥해초곡점,경상북도 포항시 북구 흥해읍 초곡지구로58번길 24-6(1층),매우우수
829,페스틴 카페테리아 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 4층 하동),매우우수
830,스타벅스오리역삼거리,"경기도 성남시 분당구 성남대로 45(구미동, 1층 일부)",매우우수
831,찬이네 주먹고기,경기도 수원시 장안구 대평로90번길 19(108호 정자동),매우우수
832,찬합 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 지하1층 하동),매우우수
833,카페 하든,"울산광역시 울주군 서생면 진하7길 34(1, 2층)",매우우수
834,지에스25천곡원룸,"강원도 동해시 감추4길 11(1층 천곡동, 장화원룸)",매우우수
835,bhc 해운대장산점,부산광역시 해운대구 세실로27번길 13(선린빌딩 1층 101일부호 좌동),매우우수
836,배스킨라빈스연제이마트점,부산광역시 연제구 연수로 89(연산동),매우우수
837,동해물과 아구찜(연수점),인천광역시 연수구 청능대로55번길 15(1층 일부호 청학동),매우우수
838,헬로스위트(HELLO SWEET),대구광역시 동구 동대구로 550(신암동),매우우수
839,60계치킨하대초전점,경상남도 진주시 하대로 89(1층  하대동),매우우수
840,미친피자 부천점,"경기도 부천시 부흥로303번길 50(중동, 한양프라자 109호)",좋음
841,60계 수원세류점,경기도 수원시 권선구 세지로 65(세류동),매우우수
842,60계 울산화정점,울산광역시 동구 화진8길 48(1층 102호 화정동),매우우수
843,교촌치킨평택소사벌점,"경기도 평택시 만세로 1845(엘도라도 시티 1층 104,105호 비전동)",매우우수
844,교촌치킨 주촌점,경상남도 김해시 주촌면 천곡로 159(1층),매우우수
845,교촌치킨(매탄2호점),경기도 수원시 영통구 매영로 53(매탄동),매우우수
846,베러먼데이 구포역점,"부산광역시 북구 구포만세길 82(2층 구포동, 구포역내)",매우우수
847,교촌치킨 정관1호점,"부산광역시 기장군 정관읍 구연로 22(103,104,105호)",매우우수
848,교촌치킨 향남2지구점,"경기도 화성시 향남읍 상신하길로328번길 8-13(1층 112,113호)",매우우수
849,참치정육점,경기도 오산시 운천로 51(1층 102호 원동),매우우수
850,만두공방 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 지하1층 하동),매우우수
851,교촌치킨 양덕점,경상북도 포항시 북구 천마로72번길 30(1층 양덕동),매우우수
852,롯데리아울산온산점,울산광역시 울주군 온산읍 덕남로 5(1층),우수
853,더벤티 봉곡점,경상남도 창원시 의창구 봉곡로123번길 8(1층 봉곡동),좋음
854,비에이치씨,부산광역시 부산진구 가야대로 515(1층 가야동),매우우수
855,이디야커피동대구역사점,"대구광역시 동구 동대구로 550(3층 신암동, 동대구역)",우수
856,투썸플레이스(경상대점),"경상남도 진주시 진주대로 504(가좌동, 1층일부,2층)",매우우수
857,교촌치킨상봉중앙점,"경상남도 진주시 촉석로 171-1(중안동, 1층일부)",매우우수
858,교촌치킨(방어점),울산광역시 동구 꽃바위로 265(방어동),매우우수
859,크리스피크림 김해봉황점,"경상남도 김해시 김해대로 2258(1,2층 전하동)",매우우수
860,이디야 인천연수점,"인천광역시 연수구 먼우금로 299(상가동 101,120호 연수동, 태경아파트)",매우우수
861,이디야커피(언양읍성점),울산광역시 울주군 언양읍 읍성로 119(3동),매우우수
862,교촌치킨 정관2호점,부산광역시 기장군 정관읍 모전3길 2(1층),매우우수
863,아웃백스테이크하우스 경기신세계점,경기도 용인시 수지구 포은대로 536(주신세계백화점경기점 7층 일부호 죽전동),매우우수
864,피자파시오네,경기도 오산시 성호대로 38-1(102호 오산동),매우우수
865,칠형제곰치국,강원도 동해시 일출로 131-1(2층 묵호진동),매우우수
866,교촌치킨 영통2호점,"경기도 수원시 영통구 영통로501번길 28-1(영통동,1층)",매우우수
867,굽네치킨 부산수영점,"부산광역시 수영구 수영로741번길 46(218동 104호 수영동, 수영협성르네상스타운)",매우우수
868,비에이치씨 송산점,경기도 화성시 송산면 사강시장길43번길 24(1층 일부),매우우수
869,60계치킨포항두호우창점,경상북도 포항시 북구 대곡로43번길 7-9(1층 두호동),우수
870,(유)아웃백스테이크하우스코리아평택점,"경기도 평택시 평택로 51(지하1층 평택동, AK플라자)",매우우수
871,스타벅스 야탑역사거리점,경기도 성남시 분당구 야탑로 102(뉴젠빌원룸텔 1층 101호 야탑동),매우우수
872,중화가정 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 지하1층 하동),매우우수
873,수누리감자탕 망포점,"경기도 수원시 영통구 태장로 83(엘지프라자 2층 201,202호 망포동)",우수
874,스타벅스 더양평DTR점,경기도 양평군 양평읍 양근로 76(1~3층),매우우수
875,스타벅스 춘의역DT점,"경기도 부천시 길주로 386(1~3층, 스타벅스 춘의역 DT 춘의동)",매우우수
876,카페 다온,울산광역시 울주군 온산읍 신온8길 42(1층),우수
877,롯데컬처웍스(주)롯데시네마 은평 스위트샵(5층),"서울특별시 은평구 통일로 1050(진관동, 롯데몰 은평점 5층)",매우우수
878,푸라닭 진관점,"서울특별시 은평구 진관3로 33(122호 진관동, 은평뉴타운 꿈에그린)",매우우수
879,60계 서울 대학동점,서울특별시 관악구 호암로26길 52(1층 신림동),매우우수
880,던킨도너츠 연신내역점,서울특별시 은평구 연서로 222(유니온빌딩 1층 대조동),매우우수
881,피자스쿨(난곡점),"서울특별시 관악구 난곡로 203(신림동,지상1층)",좋음
882,엔제리너스 구로디지털역점,서울특별시 관악구 시흥대로 572(1층 신림동),매우우수
883,교촌치킨대조점,서울특별시 은평구 서오릉로 94(101동 101호 대조동),매우우수
884,60계 치킨 세종아름점,세종특별자치시 보듬3로 91(해피라움4 1층 120호 아름동),매우우수
885,이디야커피포천신읍점,경기도 포천시 중앙로 134(1층 신읍동),우수
886,멕시카나금산점,충청남도 금산군 금산읍 상리 175-28 앤이시티 106호,좋음
887,이디야 대평동점,"세종특별자치시 시청대로 35(시드니힐 1층 108,109호 대평동)",매우우수
888,60계치킨경기포천송우리점,경기도 포천시 소흘읍 태봉로166번길 13,매우우수
889,디큐롯데아울렛기흥점,경기도 용인시 기흥구 신고매로 124(롯데프리미엄아울렛기흥점 주건축물제1동 1층일부 고매동),매우우수
890,60계치킨신천점,서울특별시 송파구 백제고분로7길 28-16(지상1층 잠실동),매우우수
891,던킨도너츠 남양주별내점,경기도 남양주시 별내중앙로 26(진영N타워1 101호 별내동),매우우수
892,교촌치킨 용강점,서울특별시 마포구 토정로31길 67(창희빌딩 1층 101호 대흥동),매우우수
893,푸라닭후평점,강원도 춘천시 보안길 77(1층 103호 후평동),우수
894,bhc 별내스타점,경기도 남양주시 송산로 153(113호 별내동),매우우수
895,파리바게뜨전주만성점,"전라북도 전주시 덕진구 만성중앙로 45(센터프라자 104, 105호 만성동)",매우우수
896,앤티앤스 프레즐,"경기도 파주시 청암로17번길 17(목동동, 파주운정F3-8복합시설, 지1층 일부)",매우우수
897,롤링파스타춘천명동점,강원도 춘천시 명동길 2-1(2층 중앙로2가),매우우수
898,코레일유통(주) 배스킨라빈스 개봉역사점,"서울특별시 구로구 경인로40길 47(개봉동, 개봉역구내)",매우우수
899,나폴레옹과자점,"서울특별시 서초구 잠원로 51(1층 잠원동, 뉴코아백화점)",매우우수
900,족발참잘하는집,"대구광역시 달서구 진천로 114-20(1층 101호 대천동, 금오이빌라트)",매우우수
901,푸라닭전주아중점,"전라북도 전주시 덕진구 구총목로 30(인후동1가, 주1동)",우수
902,롯데시네마별내스위트샵,경기도 남양주시 별내중앙로 10(별내역 아이파크 스위트 판매및영화관 영화관매점 일부 별내동),매우우수
903,파리바게뜨(구로대림),"서울특별시 구로구 경인로59길 8(1층 109,110,111일부호 신도림동)",매우우수
904,교촌치킨서귀포남원점,제주특별자치도 서귀포시 남원읍 태위로 713,우수
905,롯데컬처웍스(주)엔제리너스롯데시네대구율하,대구광역시 동구 안심로 80(율하동),매우우수
906,신수서강대점 BHC,"서울특별시 마포구 독막로28길 7(101동 1층 106호 신수동, 성원아파트)",매우우수
907,푸라닭춘천석사점,강원도 춘천시 우석로67번길 17(석사동),매우우수
908,더크(durk),대구광역시 남구 안골길 42(1층 대명동),매우우수
909,스타벅스대구들안길DT점,"대구광역시 수성구 들안로 85(1층,2층 상동)",매우우수
910,60계치킨 신도림점,"서울특별시 구로구 경인로67길 23(1층 109-110호 신도림동, 신도림2차푸르지오)",매우우수
911,파파존스공릉점,서울특별시 노원구 화랑로 459(1층 공릉동),매우우수
912,동대구 롯데리아,대구광역시 동구 동대구로 550(신암동),우수
913,지에스25여의만남점,전라북도 전주시 덕진구 덕용2길 48-7(1층 일부호 동산동),매우우수
914,오늘은국수,충청남도 아산시 어의정로133번길 9(1층 용화동),매우우수
915,빠씨오네,경기도 파주시 시청로 172(1층 아동동),우수
916,이디야(서초우면중앙점),"서울특별시 서초구 양재대로2길 100-11(1층 103,104호 우면동, 서초 리슈빌S)",우수
917,이디야위미점,제주특별자치도 서귀포시 남원읍 태위로 88(1층),매우우수
918,푸라닭춘천퇴계점,강원도 춘천시 퇴계로145번길 7-13(퇴계동),좋음
919,스타벅스 대구반월삼성,대구광역시 중구 달구벌대로 2095(삼성생명 지상1층 덕산동),매우우수
920,카페인,대구광역시 동구 동대구로 550(동대구역 동대구역사 1층 신암동),매우우수
921,요거프레소(당진시청점),충청남도 당진시 남부로 288(수청동),매우우수
922,빅핸즈,대구광역시 수성구 알파시티1로 170(대흥동),매우우수
923,할리스커피(HOLLYS COFFEE),대구광역시 동구 동대구로 550(신암동),매우우수
924,멕시카나 아산둔포점,충청남도 아산시 둔포면 아산밸리중앙로 102(1층 105호),좋음
925,스테이크어스이마트천안점,충청남도 천안시 서북구 충무로 187(이마트천안점 1층 쌍용동),매우우수
926,60계구미옥계점,"경상북도 구미시 옥계북로 34(1층 106호 옥계동, 원광빌딩)",매우우수
927,금커피별빙수(당진점),충청남도 당진시 무수동4길 23-5(읍내동),매우우수
928,공차 동대구역사점,대구광역시 동구 동대구로 550(신암동),매우우수
929,도뜰정육식당,"충청남도 아산시 온천대로 1686-11(2층,3층 풍기동)",매우우수
930,태루,충청남도 천안시 서북구 충무로 187(이마트천안점 1층 쌍용동),매우우수
931,라화공방,경상북도 구미시 산동읍 신당1로2길 13(1동 1층 101호),매우우수
932,빽다방(당진기지시점),충청남도 당진시 송악읍 반촌로 70-17(KD타워 108호),매우우수
933,반궁,충청남도 천안시 서북구 충무로 187(이마트천안점 1층 쌍용동),매우우수
934,엘세븐홍대 다이닝 플로팅,서울특별시 마포구 양화로 141(롯데호텔 L7홍대 19층 일부 동교동),매우우수
935,도둑 로제 떡볶이,인천광역시 연수구 청명로31번길 13-17(1층 일부호 청학동),매우우수
936,죽이야기구평점,경상북도 구미시 인동36길 16(1층 진평동),매우우수
937,스타벅스대구각산역DT,대구광역시 동구 안심로 383(1~2층 신서동),매우우수
938,경복궁창동점(주)엔타스,서울특별시 도봉구 도봉로 610(창동),우수
939,60계치킨 양주점,경기도 양주시 고읍남로191번길 74(101호 광사동),매우우수
940,파리바게트(창동현대점),"서울특별시 도봉구 도봉로136길 7(창동, 한독패밀리타운)",매우우수
941,스타벅스 양주고읍DT,경기도 양주시 고덕로 351(1-2층 고읍동),매우우수
942,GS25 도봉소망점,서울특별시 도봉구 시루봉로27길 23(도봉동),매우우수
943,60계목포용해점,전라남도 목포시 연산백련로7번길 2-10(1층 연산동),좋음
944,60계치킨 덕정점,"경기도 양주시 독바위로 79-13(덕정동,외1필지 A동 205호)",매우우수
945,배스킨라빈스(영등포홈플러스점),"서울특별시 영등포구 당산로 42(문래동3가,지상2층)",매우우수
946,푸라닭(양주백석점),"경기도 양주시 백석읍 꿈나무로 300(세아청솔아파트상가, 101호, 108호)",매우우수
947,파리바게뜨 대전궁동,대전광역시 유성구 대학로151번길 39(지상1층 궁동),매우우수
948,떡볶이참잘하는집 떡참 여수여천점,전라남도 여수시 도원로 265(1층 학동),매우우수
949,차이(chai)797 신세계김해점,경상남도 김해시 김해대로 2232(신세계백화점 김해점 4층 외동),매우우수
950,파파존스피자잠실점,서울특별시 송파구 백제고분로 162(지상1층 잠실동),매우우수
951,성남산성역자이점,경기도 성남시 수정구 신흥동 1132,매우우수
952,이디야(용인성복느티나무)점,"경기도 용인시 수지구 성복1로 80(1층 105호 성복동, 성복역 서희스타힐스)",매우우수
953,덮다 영통역점,경기도 수원시 영통구 반달로35번길 30(영통역 아이파크 211호 영통동),매우우수
954,나폴레옹제과 갤러리아광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 지하1층 하동),매우우수
955,파리바게트 감일프라자점,경기도 하남시 신우실로 65(103호 감일동),매우우수
956,투썸플레이스대전중구청역점,"대전광역시 중구 선화서로 16(1,2층 선화동)",매우우수
957,"네네치킨(궁동,어은점)",대전광역시 유성구 농대로 8(지상1층 어은동),우수
958,네네치킨앤봉구스밥버거성환점,충청남도 천안시 서북구 성환읍 신선동길 20,우수
959,푸라닭전주에코시티점,전라북도 전주시 덕진구 세병2길 32-4(1동 1층 101호 송천동2가),매우우수
960,푸라닭 신흥태평4동점,경기도 성남시 수정구 수정로 210(1층 신흥동),매우우수
961,던킨 부천시청점,경기도 부천시 길주로 246(부천중동리슈빌엔클래스 104A호 중동),매우우수
962,투썸플레이스(성산공원점),"전라남도 여수시 성산로 42(1층,2층 화장동)",매우우수
963,교촌치킨인후점,전라북도 전주시 덕진구 견훤로 314(인후동1가),매우우수
964,60계 광주송정점,경기도 광주시 중앙로 184(삼보빌딩 1층 송정동),매우우수
965,60계,서울특별시 송파구 양산로 42(1층 거여동),매우우수
966,푸라닭 하남감일점,"경기도 하남시 신우실로 65(1~2층 105, 206~207호 감일동)",우수
967,불닭발땡초동대문엽기떡볶이인계점,"경기도 수원시 팔달구 권광로 184(112호 인계동, 캐슬타워)",우수
968,동경스시,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 지하1층 하동),매우우수
969,공차 신세계김해점,경상남도 김해시 김해대로 2232(3층 외동),매우우수
970,파리바게뜨청라SK점,"인천광역시 서구 솔빛로 93(청라 SK VIEW 근린생활시설동 1층 117호 경서동, 973-3 청라 SK VIEW 근린생활시설동 117호)",매우우수
971,이디야커피(용인죽전대지점),경기도 용인시 수지구 대지로 42(1층 102호 죽전동),매우우수
972,스타벅스안양일번가점,"경기도 안양시 만안구 안양로292번길 36(안양동,외 1필지   지상1,2층)",매우우수
973,60계치킨,"광주광역시 북구 양산로 36(양산동, 1층)",매우우수
974,투썸플레이스중촌점,대전광역시 중구 어덕마을로 91(1~3층 중촌동),매우우수
975,푸라닭치킨 모현점,전라북도 익산시 선화로6길 20(102호 모현동1가),매우우수
976,빽다방첨단2지구점,광주광역시 북구 첨단연신로107번길 15(1층 101호 신용동),매우우수
977,굽네치킨 유성온천점,"대전광역시 유성구 대학로 45(지상1층 104호 봉명동, 스카이뷰로드)",매우우수
978,더메이뷔페,전라북도 전주시 덕진구 기린대로 800(더메이호텔 1층 일부호 팔복동1가),매우우수
979,푸라닭두정점,충청남도 천안시 서북구 원두정7길 27(두정동),매우우수
980,파리바게뜨 광주오포매산점,경기도 광주시 오포읍 회안대로 19(1층),좋음
981,교촌치킨직산점,충청남도 천안시 서북구 직산읍 봉주로 50(2층),매우우수
982,브라더한정식도시락 갤러리아타임월드점,대전광역시 서구 대덕대로 211(갤러리아타임월드백화점 지하2층 일부호 둔산동),매우우수
983,60계치킨 올림픽공원역점,"서울특별시 송파구 양재대로 1222(2층 28호 방이동, 올림픽선수기자촌 아파트 상가)",매우우수
984,롯데컬처웍스(주)롯데시네마부천스위트샵,"경기도 부천시 길주로 280(중동,프리머스부천타워 801호일부)",매우우수
985,투썸플레이스전주송천점,"전라북도 전주시 덕진구 동부대로 1145(1동 송천동2가, 1층일부)",매우우수
986,씨제이프레시웨이(주) 성남시의료원 장례식장,경기도 성남시 수정구 수정로171번길 10(성남시의료원 지하2층 일부호 태평동),매우우수
987,본설렁탕 안양호계점,경기도 안양시 동안구 엘에스로 122(호계 데시앙플렉스 107호 호계동),우수
988,봉추찜닭,"경기도 수원시 팔달구 권광로 184(인계동,캐슬타워 134호)",매우우수
989,스타벅스 용인보정DT점,"경기도 용인시 기흥구 용구대로2469번길 165(보정동 Starbucks DT 주건축물제1동 1,2,3층 보정동)",매우우수
990,궁을 빚다 갤러리아 광교,경기도 수원시 영통구 광교중앙로 124(갤러리아 광교 지하1층 일부호 하동),매우우수
991,스타벅스 여수마리나점,"전라남도 여수시 웅천로 134(1층 105,106,107호 웅천동)",매우우수
992,이디야 인천청라파크자이점,인천광역시 서구 솔빛로 20(도영프라자 1층 일부 청라동),매우우수
993,스타벅스 김해율하신도시점,"경상남도 김해시 율하3로 32(1,2층 율하동)",매우우수
994,파스쿠찌전대점,"광주광역시 북구 호동로 15(용봉동, 1~4층)",매우우수
995,주식회사투썸플레이스천안불당점,충청남도 천안시 서북구 불당4로 111(불당 오딧세이 101~104.106~109호 불당동),매우우수
996,써브웨이대전태평점,"대전광역시 중구 태평로 71(1층 141호 태평동, 뉴삼부프라자)",매우우수
997,투썸플레이스천안차암점,"충청남도 천안시 서북구 밤개울1길 1-1(1,2층 차암동)",매우우수
998,메이카페,전라북도 전주시 덕진구 기린대로 800(더메이호텔 1층 일부호 팔복동1가),매우우수
